date,raceNum,hName,jName,odds,fav,pastPos,last3,last5,last10,trifecta,
01/01/2017,1,Gasconade,Carmouche/Kendrick,5.30,0,1,0,0,0,0,
01/01/2017,1,Cornedbeefncabbage,Gallardo/Antonio,26.00,0,1,0,0,0,0,
01/01/2017,1,Trailblazer (BRZ),Maragh/Rajiv,14.20,0,-1,0,0,0,1,
01/01/2017,1,to Run,Garcia/Alan,16.10,0,-1,0,0,0,0,
01/01/2017,1,Enduring Warrior,Velasquez/Cornelio,0.90,1,2,0,0,0,1,
01/01/2017,1,Storm the Shore,Arroyo/Angel,4.10,0,2,0,0,0,0,
01/01/2017,1,Dhamaan,Davis/Dylan,5.50,0,2,0,0,0,1,
01/01/2017,2,Palladian Bridge,Franco/Manuel,3.95,0,2,0,0,0,1,
01/01/2017,2,Majestic Island,Gallardo/Antonio,8.40,0,1,0,0,0,0,
01/01/2017,2,Arch Or Nothing,Maragh/Rajiv,7.10,0,1,1,1,1,0,
01/01/2017,2,Daring Prospect,Ortiz/Jr./Irad,3.50,0,1,0,0,0,1,
01/01/2017,2,Madame Barbarian,Arroyo/Angel,16.70,0,2,0,0,0,0,
01/01/2017,2,Ranger Lady,Hernandez/Harry,3.40,0,1,0,0,0,1,
01/01/2017,2,Double Dose,Velasquez/Cornelio,2.85,1,2,1,1,1,0,
01/01/2017,3,Always a Suspect,Carmouche/Kendrick,1.60,1,2,0,0,0,1,
01/01/2017,3,Mabrouk,Ortiz/Jr./Irad,6.40,0,1,1,1,1,0,
01/01/2017,3,Caledonian,Cancel/Eric,3.25,0,2,0,0,0,1,
01/01/2017,3,Cape Lookout,Velasquez/Cornelio,2.85,0,2,2,2,2,0,
01/01/2017,3,Butch Walker,Acosta/J.,4.60,0,2,0,0,0,1,
01/01/2017,4,Mast Step,Franco/Manuel,9.80,0,0,1,1,1,0,
01/01/2017,4,Altesino,Maragh/Rajiv,3.30,0,2,2,2,2,1,
01/01/2017,4,Read the Dream,Ortiz/Jr./Irad,5.30,0,2,2,2,2,1,
01/01/2017,4,Chosen One Elijah,Davis/Jacqueline,18.60,0,2,0,0,0,0,
01/01/2017,4,Ransom Note,Velasquez/Cornelio,1.75,1,1,1,2,2,1,
01/01/2017,4,Steady Heat,Davis/Dylan,14.40,0,0,1,1,1,0,
01/01/2017,4,de Oro,Simpson/Trevor,79.50,0,-1,0,0,0,0,
01/01/2017,4,Light the Vow,Arroyo/Angel,3.55,0,2,0,0,0,0,
01/01/2017,5,Tree Shaker,Maragh/Rajiv,21.70,0,1,2,2,2,0,
01/01/2017,5,Legend Keeper,Ortiz/Jr./Irad,8.70,0,1,2,2,2,0,
01/01/2017,5,Il Fratello,Davis/Dylan,46.25,0,1,2,2,2,0,
01/01/2017,5,Police Escort,Gallardo/Antonio,3.15,0,1,0,0,0,1,
01/01/2017,5,The Schwam,Carmouche/Kendrick,8.10,0,0,0,0,0,0,
01/01/2017,5,Zen Papa,Arroyo/Angel,5.10,0,1,0,0,0,0,
01/01/2017,5,Kenyan,Cancel/Eric,1.05,1,0,1,1,1,1,
01/01/2017,5,Bossmon,Martinez/Joey,37.50,0,0,0,0,0,0,
01/01/2017,5,Bustin It,Franco/Manuel,1.05,1,2,2,2,2,1,
01/01/2017,6,Pride of Saratoga,Carmouche/Kendrick,17.60,0,1,1,1,1,0,
01/01/2017,6,Urbanity,Davis/Dylan,7.70,0,2,1,2,2,0,
01/01/2017,6,Milkyyourway,Davis/Jacqueline,15.70,0,2,0,0,0,0,
01/01/2017,6,Fire Key,Maragh/Rajiv,2.70,1,2,1,3,3,0,
01/01/2017,6,Andesine,Ortiz/Jr./Irad,4.20,0,1,1,3,3,1,
01/01/2017,6,Saratiago,Cancel/Eric,64.75,0,1,2,2,2,0,
01/01/2017,6,Dream On,Gallardo/Antonio,3.60,0,2,1,0,0,1,
01/01/2017,6,Talkn Til Midnight,Velasquez/Cornelio,8.30,0,1,1,2,2,1,
01/01/2017,6,Tapa Liath,Arroyo/Angel,9.40,0,0,0,0,0,0,
01/01/2017,6,B Three,Franco/Manuel,13.00,0,0,2,2,2,0,
01/01/2017,7,House of Friends,Diaz/Jr./Hector,8.70,0,1,0,0,0,1,
01/01/2017,7,Alerta,Simpson/Trevor,61.50,0,0,0,0,0,0,
01/01/2017,7,DQ-Blameiton Brooklyn,Arroyo/Angel,0.60,1,2,0,0,0,1,
01/01/2017,7,Dr Luber's Kiss,Maragh/Rajiv,7.60,0,2,1,2,3,1,
01/01/2017,7,Lotta Gold,Garcia/Alan,4.60,0,1,0,0,0,0,
01/01/2017,7,Playthatfunnymusic,Martinez/Joey,7.40,0,2,0,0,0,0,
01/01/2017,7,Bear Clause,Mendez/Kevin,72.50,0,0,0,0,0,0,
01/01/2017,7,Social Rebellion,Carmouche/Kendrick,26.25,0,2,1,1,1,0,
01/01/2017,8,Frisky Warrior,Davis/Dylan,46.25,0,0,0,2,2,0,
01/01/2017,8,Championofthenile,Velasquez/Cornelio,2.20,1,2,2,3,3,0,
01/01/2017,8,Celtic Chaos,Cancel/Eric,7.00,0,2,2,3,3,1,
01/01/2017,8,John's Island,Franco/Manuel,4.20,0,2,1,3,3,1,
01/01/2017,8,True Bet,Maragh/Rajiv,7.00,0,2,1,2,3,0,
01/01/2017,8,Nobody Move,Gallardo/Antonio,8.50,0,2,2,1,1,0,
01/01/2017,8,Dark Roast,Garcia/Alan,58.00,0,1,0,0,0,0,
01/01/2017,8,Big Zip,Ortiz/Jr./Irad,2.80,0,0,2,3,3,1,
01/01/2017,8,Giantinthemoonlite,Arroyo/Angel,26.00,0,0,1,1,0,0,
01/01/2017,9,Bust,Davis/Dylan,13.60,0,0,0,1,2,0,
01/01/2017,9,Champagne Therapy,Franco/Manuel,6.00,0,2,2,3,3,0,
01/01/2017,9,Katie Ice,Gallardo/Antonio,3.85,0,2,2,2,2,1,
01/01/2017,9,Offlee Good,Ayala/Addiel,54.25,0,2,0,0,0,0,
01/01/2017,9,Splash of Sass,Davis/Jacqueline,20.50,0,0,0,0,0,1,
01/01/2017,9,Boss Lady Platinum,Maragh/Rajiv,12.60,0,0,1,2,4,0,
01/01/2017,9,Chocolate Smoothie,Arroyo/Angel,2.10,1,2,1,1,1,0,
01/01/2017,9,Eponymous,Simpson/Trevor,70.25,0,1,0,0,0,0,
