date,raceNum,trackType,weather,trackCondition,dist,numHorses,lastRace1,pastRace1,pastTrack1,pastPos1,hName1,jName1,weight1,polePos1,odds1,lastRace2,pastRace2,pastTrack2,pastPos2,hName2,jName2,weight2,polePos2,odds2,finalrank,
15/03/2019,9,Dirt,Cloudy,Fast,8750,11,41,7,AQU,8,Redyornothereicome,Hernandez/Carlos,122,1,44.25,15,6,AQU,4,Avast Matey,Martinez/Joey,113,3,40.75,1,
17/11/2019,10,Dirt,Clear,Fast,7500,12,63,4,BEL,2,Cruising Strong,Castellano/Javier,119,3,1.90,42,5,BEL,3,Top Hat Invasion,Carmouche/Kendrick,119,4,7.803,2,
21/02/2020,7,Dirt,Clear,Fast,7500,7,56,3,LRL,1,Leaveuwithasmile,Vargas/Jr./Jorge,122,4,7.303,15,2,CT,1,Ilchester Cheetah,Lezcano/Jose,122,2,6.10,2,
18/04/2019,5,Turf,Cloudy,Firm,10625,8,32,2,AQU,5,Bourbon Boy,Castellano/Javier,126,5,15.30,34,6,AQU,5,Asher the Dasher,Diaz/Jr./Hector,118,4,58.25,1,
22/02/2019,4,Dirt,Cloudy,Good,8125,8,FR,FR,FR,FR,Kid,Alvarado/Junior,121,6,3.05,20,5,AQU,5,Too Many Tales,Hernandez/Benjamin,114,3,7.00,2,
07/11/2019,2,Dirt,Cloudy,Fast,7500,8,49,2,BEL,6,Flying Pleasantly,Serrano/Keivan,124,6,36.25,22,1,BEL,6,Know Point Given,Camacho/Jr./Samuel,124,2,74.25,1,
21/02/2019,6,Dirt,Clear,Sloppy (Sealed),10000,6,63,7,AQU,3,Hokulea,Hernandez/Benjamin,113,2,28.50,33,6,LRL,1,Eagle Pass,Alvarado/Junior,122,5,0.95,2,
02/11/2019,4,Dirt,Clear,Fast,8125,6,22,6,BEL,3,Red Zinger,Alvarado/Junior,120,2,4.30,31,5,BEL,2,Dark Money,Lezcano/Jose,118,4,0.40,2,
18/02/2019,6,Dirt,Clear,Fast,10000,8,79,5,AQU,3,Cirque,Fragoso/Pablo,121,6,11.80,29,2,AQU,3,That's Smart,Alvarado/Junior,123,7,2.756,2,
06/12/2019,5,Dirt,Cloudy,Fast,7500,12,35,2,AQU,12,Felony Melanie,Harkie/Heman,114,3,45.50,15,8,AQU,12,Over Thirsty,Hernandez/Benjamin,115,8,137.7,1,
17/02/2020,9,Dirt,Clear,Fast,7500,13,FR,FR,FR,FR,Gumboot,Lezcano/Jose,120,10,9.30,24,5,AQU,8,True Palace,Martinez/Joey,120,1,76.50,1,
12/01/2020,1,Dirt,Cloudy,Fast,8750,6,31,5,AQU,6,Make Or Break,Davis/Dylan,120,3,5.60,31,5,AQU,4,Sengekontacket,Lezcano/Jose,120,6,1.25,2,
02/11/2019,10,Dirt,Clear,Fast,7500,11,30,8,BEL,6,Cray Cray,Luzzi/Michael,119,2,26.00,55,5,BEL,8,Titan's Will,Carmouche/Kendrick,119,11,9.60,2,
06/04/2019,5,Outer,Clear,Firm,10625,12,27,5,GP,7,Slim Shadey (GB),Ortiz/Jose,120,1,2.35,28,2,AQU,3,Holy Week,Luzzi/Michael,120,5,86.00,1,
15/12/2019,8,Dirt,Cloudy,Muddy (Sealed),8750,11,44,6,AQU,1,Holmdel Park,Carmouche/Kendrick,120,11,14.90,24,8,AQU,1,Officer Hutchy,Davis/Dylan,120,8,11.30,2,
17/03/2019,9,Dirt,Clear,Fast,8125,11,FR,FR,FR,FR,Eyes,Diaz/Jr./Hector,121,1,66.75,15,6,AQU,2,Charming Cara,Lezcano/Jose,121,4,11.70,1,
06/04/2019,9,Dirt,Clear,Fast,8750,7,28,9,AQU,1,Vino Rosso,Velazquez/John,120,2,2.65,34,10,GP,2,Identity Politics,Ortiz/Jose,116,4,6.30,1,
16/03/2019,5,Dirt,Clear,Fast,10000,7,34,5,AQU,3,She Makes Me Smile,Martinez/Joey,113,6,35.75,16,8,AQU,2,Abby Normal,Davis/Dylan,120,4,8.20,1,
05/04/2019,8,Dirt,Showery,Fast,8750,7,90,8,AQU,1,Kathryn the Wise,Ortiz/Jr./Irad,117,5,1.75,167,9,BEL,10,Rosyjersey,Martinez/Joey,113,2,85.50,1,
11/01/2019,6,Dirt,Clear,Fast,6875,8,26,7,AQU,11,Gypsum Johnny,Davis/Dylan,122,3,12.30,51,9,AQU,4,Blue Pigeon,Brown/Dalton,122,5,41.50,1,
26/01/2020,2,Dirt,Clear,Muddy,8125,7,42,7,AQU,5,Timely Tradition,Carmouche/Kendrick,120,2,0.65,25,4,AQU,4,First Forever,Cancel/Eric,123,3,9.00,1,
13/04/2019,6,Dirt,Clear,Muddy,7500,8,227,5,SAR,4,Chillinwithfriends,Hernandez/Harry,121,3,4.00,FR,FR,FR,FR,Doll,Franco/Manuel,121,8,2.20,2,
30/11/2019,10,Dirt,Clear,Fast,7500,9,6,5,AQU,4,Mac's Revolution,Davis/Dylan,118,7,3.45,21,4,AQU,2,Elios Milos,Diaz/Jr./Hector,120,8,2.30,2,
08/11/2019,3,Dirt,Cloudy,Fast,8125,9,27,1,BEL,3,Bow Maker,Lezcano/Jose,119,3,5.10,43,1,BEL,5,La Negrita,Diaz/Jr./Hector,119,8,8.40,2,
24/11/2019,9,Dirt,Showery,Sloppy (Sealed),7500,11,36,11,BEL,3,Disciplanarian,Ortiz/Jr./Irad,122,2,21.20,77,1,BEL,5,The Joke's On You,Lezcano/Jose,122,4,7.202,1,
14/12/2019,2,Dirt,Foggy,Sloppy (Sealed),7500,6,28,7,LRL,5,Cruise and Danze,Cancel/Eric,120,2,5.60,29,6,LRL,5,Persian Queen,Davis/Dylan,118,6,5.20,1,
18/01/2019,3,Dirt,Cloudy,Fast,7500,9,20,9,AQU,2,There He Goes,Maragh/Rajiv,123,4,2.85,19,8,AQU,4,Ridolfo,Reyes/Luis,123,3,22.60,1,
10/11/2019,2,Turf,Cloudy,Firm,10625,12,23,5,BEL,9,Crater Rim,Harkie/Heman,116,11,102.2,50,11,BEL,10,Hit a Provisional,Ortiz/Jose,121,9,3.20,2,
20/01/2020,6,Dirt,Clear,Good,7500,8,73,6,AQU,3,Life in Shambles,Franco/Manuel,120,7,1.10,58,5,AQU,10,Blueblood,Carroll/Declan,115,5,10.60,1,
18/04/2019,9,Outer,Cloudy,Firm,7500,9,25,6,AQU,5,True Blue Giant,Castellano/Javier,118,6,5.208,300,8,LRL,7,Fortune Smiles,Cancel/Eric,118,2,12.50,1,
12/01/2019,8,Dirt,Cloudy,Fast,8750,8,28,8,AQU,1,Honor Up,Franco/Manuel,120,8,2.55,14,8,AQU,5,Winston's Chance,Gutierrez/Reylu,125,3,31.25,1,
21/12/2019,8,Dirt,Cloudy,Fast,11250,7,79,7,BEL,2,Roaming Union,Cancel/Eric,123,1,5.30,197,8,BEL,5,Stan the Man,Davis/Dylan,123,2,2.702,2,
17/04/2019,2,Dirt,Clear,Fast,8750,7,6,1,AQU,5,Blue Skies Forever,Harkie/Heman,115,4,25.75,17,2,AQU,4,Quintarelli,Camacho/Jr./Samuel,125,6,54.00,2,
25/01/2019,1,Dirt,Clear,Muddy,7500,7,FR,FR,FR,FR,No Noah,Diaz/Jr./Hector,123,4,44.25,26,8,AQU,2,Hot Sriracha,Gutierrez/Reylu,118,7,2.75,2,
30/11/2019,9,Turf,Clear,Good,13750,12,213,u,HAR,1,Entropia (ARG),Diaz/Jr./Hector,122,3,78.00,28,8,WO,1,Lift Up,Bravo/Joe,124,8,8.00,2,
21/02/2019,8,Dirt,Clear,Sloppy (Sealed),10000,8,105,4,AQU,1,Business Cycle,Reyes/Luis,123,4,13.10,48,7,AQU,1,Gio d'Oro,Cancel/Eric,123,1,5.70,2,
29/11/2019,9,Outer,Clear,Good,10625,8,34,5,BEL,3,Halladay,Velazquez/John,118,5,1.45,20,10,CD,8,Proliferate,Lezcano/Jose,118,4,5.40,1,
02/02/2019,3,Dirt,Clear,Fast,8125,8,42,2,AQU,4,Gorelli,Gutierrez/Reylu,116,8,9.90,21,6,AQU,6,Toohottoevenspeak,Cancel/Eric,121,3,9.703,2,
06/12/2019,10,Dirt,Cloudy,Fast,7500,10,FR,FR,FR,FR,Sisterwilliamagnes,Harkie/Heman,122,7,50.00,25,10,AQU,10,Fusi,Alvarado/Junior,122,1,9.70,2,
17/11/2019,3,Dirt,Clear,Fast,10000,9,53,5,BEL,6,Shalako,Ortiz/Jr./Irad,124,9,4.50,15,5,AQU,7,Professor Snape,Diaz/Jr./Hector,122,1,33.25,1,
17/02/2020,9,Dirt,Clear,Fast,7500,13,FR,FR,FR,FR,Krugerrand,Correa/Julio,120,2,86.00,FR,FR,FR,FR,Signified,Hernandez/Benjamin,120,4,14.30,2,
24/03/2019,9,Dirt,Clear,Fast,10000,9,12,1,PRX,3,Brown Essence,Esquivel/Emmanuel,120,7,23.50,23,1,AQU,3,Mac's Revolution,Martinez/Joey,112,9,12.50,2,
09/02/2019,2,Dirt,Clear,Fast,8750,6,21,6,AQU,7,Twofer,Hernandez/Harry,123,5,15.70,15,5,AQU,5,Elizabeth Nicole,Martinez/Joey,118,3,3.35,2,
29/12/2019,6,Dirt,Clear,Fast,10000,10,24,7,AQU,1,The Great Johanna,Alvarado/Junior,124,3,0.85,14,6,AQU,4,Ok Honey,Harkie/Heman,116,2,90.25,1,
21/12/2019,6,Dirt,Cloudy,Fast,8125,13,27,5,AQU,7,Bourbon N Rye,Gutierrez/Reylu,124,11,19.20,26,2,FL,5,Cause for Applause,Cancel/Eric,122,1,33.75,2,
