JockeyName,NumOfRaces,Win,Place,Show,WinPercent,Top3Percent,QP,AQP,NNQP,ANNQP,Last3,Last5,Last10,
Franco/Manuel,720,167,128,115,2319,5694,486370.37129537127,675.5144045769046,90672.36929736928,125.93384624634623,3$1$5,3$3$3$1$5,1$6$1$10$1$3$3$3$1$5,
Davis/Dylan,669,96,112,87,1434,4409,401593.18459318473,600.288766208049,23649.691974691956,35.35081012659485,2$5$4,1$2$2$5$4,2$2$4$1$5$1$2$2$5$4,
Alvarado/Junior,503,110,72,81,2186,5228,313622.02797202783,623.5030377177492,33284.534909534916,66.17203759350879,5$1$5,1$1$5$1$5,7$3$4$2$3$1$1$5$1$5,
Lezcano/Jose,576,129,94,86,2239,5364,375302.30047730065,651.5664938842025,55960.323010322965,97.15333855958848,1$3$7,2$3$1$3$7,2$1$7$3$9$2$3$1$3$7,
Garcia/Jomar,2,0,0,0,0,0,628.5714285714286,314.2857142857143,-714.2857142857143,-357.14285714285717,u$5$5,u$u$u$5$5,u$u$u$u$u$u$u$u$5$5,
Gutierrez/Reylu,509,58,58,73,1139,3713,270041.7665667664,530.5339225280284,-26016.683316683313,-51.113326751833625,8$3$8,4$8$8$3$8,3$2$6$5$5$4$8$8$3$8,
Worrie/Andre,125,11,15,10,880,2880,62015.06826506828,496.12054612054624,-10199.791874791874,-81.59833499833499,6$5$2,1$8$6$5$2,7$8$2$5$8$1$8$6$5$2,
Cancel/Eric,573,100,84,96,1745,4886,358186.34976134973,625.1070676463346,38224.783549783555,66.70991893504984,1$2$1,3$4$1$2$1,7$1$2$3$6$3$4$1$2$1,
Hernandez/Benjamin,286,23,35,37,804,3321,150977.7389277389,527.8941920550311,-14072.302697302703,-49.20385558497449,3$7$7,2$5$3$7$7,1$1$4$7$4$2$5$3$7$7,
Maragh/Rajiv,219,26,34,37,1187,4429,125778.55477855477,574.3313003586975,1649.6114996114995,7.532472600965751,7$5$7,5$4$7$5$7,2$9$3$9$4$5$4$7$5$7,
Velazquez/John,80,13,11,10,1625,4250,48858.74125874127,610.7342657342658,4678.679653679655,58.48349567099568,1$2$1,6$6$1$2$1,9$7$9$5$6$6$6$1$2$1,
Reyes/Luis,155,13,9,27,838,3161,77577.56132756131,500.5003956616859,-12720.057720057717,-82.0648885165014,6$8$6,1$11$6$8$6,7$10$5$8$10$1$11$6$8$6,
Pennington/Frankie,4,0,1,0,0,2500,1944.4444444444443,486.1111111111111,-476.19047619047615,-119.04761904761904,4$7$6,u$2$4$7$6,u$u$u$u$u$u$2$4$7$6,
Vargas/Jr./Jorge,181,17,16,34,939,3701,97142.09124209128,536.6966366966369,-6304.204129204125,-34.829857067426104,3$4$6,4$4$3$4$6,5$1$3$4$6$4$4$3$4$6,
Martinez/Joey,212,17,17,18,801,2452,98133.17238317241,462.892322562134,-25281.08558108558,-119.25040368436595,8$4$7,5$6$8$4$7,7$11$6$13$4$5$6$8$4$7,
Sone/Joel,25,1,2,0,400,1200,9582.431457431458,383.2972582972583,-5416.41414141414,-216.65656565656562,5$5$8,7$10$5$5$8,12$10$7$7$6$7$10$5$5$8,
Hernandez/Harry,83,6,8,9,722,2771,41391.26984126985,498.68999808758855,-6728.643578643579,-81.0679949234166,10$4$8,5$7$10$4$8,6$1$10$6$6$5$7$10$4$8,
Correa/Julio,128,9,19,16,703,3437,69163.24508824508,540.3378522519147,-3615.978465978465,-28.249831765456758,3$6$6,4$3$3$6$6,4$2$5$4$4$4$3$3$6$6,
