JockeyName,NumOfRaces,Win,Place,Show,WinPercent,Top3Percent,QP,AQP,NNQP,ANNQP,Last3,Last5,Last10,
Lezcano/Jose,4,1,1,0,2500,5000,2.654761904761905,0.6636904761904763,458.33333333333326,114.58333333333331,2$4$7,u$1$2$4$7,u$u$u$u$u$u$1$2$4$7,
Franco/Manuel,7,1,1,2,1428,5714,3.982142857142857,0.5688775510204082,47.61904761904767,6.802721088435382,3$4$8,3$7$3$4$8,u$u$u$2$1$3$7$3$4$8,
Vargas/Jr./Jorge,4,1,1,1,2500,7500,2.6904761904761907,0.6726190476190477,273.8095238095239,68.45238095238098,1$2$5,u$3$1$2$5,u$u$u$u$u$u$3$1$2$5,
Brown/Dalton,1,0,0,0,0,0,0.25,0.25,-500.0,-500.0,u$u$4,u$u$u$u$4,u$u$u$u$u$u$u$u$u$4,
Cancel/Eric,7,1,2,0,1428,4285,4.625,0.6607142857142857,744.0476190476189,106.29251700680271,4$5$2,4$5$4$5$2,u$u$u$2$1$4$5$4$5$2,
Davis/Dylan,6,1,0,1,1666,3333,3.2619047619047614,0.5436507936507936,-380.9523809523809,-63.49206349206349,5$4$6,4$1$5$4$6,u$u$u$u$3$4$1$5$4$6,
Gomez/Oscar,2,0,0,1,0,5000,1.1666666666666665,0.5833333333333333,0.0,0.0,u$4$3,u$u$u$4$3,u$u$u$u$u$u$u$u$4$3,
Maragh/Romero,7,1,2,0,1428,4285,3.946428571428571,0.5637755102040816,-172.61904761904768,-24.659863945578238,6$2$1,2$6$6$2$1,u$u$u$5$5$2$6$6$2$1,
Carmouche/Kendrick,5,1,0,2,2000,6000,2.714285714285714,0.5428571428571428,-119.04761904761904,-23.809523809523807,1$6$3,6$3$1$6$3,u$u$u$u$u$6$3$1$6$3,
Harkie/Heman,1,0,0,1,0,10000,0.6666666666666666,0.6666666666666666,166.66666666666666,166.66666666666666,u$u$3,u$u$u$u$3,u$u$u$u$u$u$u$u$u$3,
Fukumoto/Daisuke,2,0,0,0,0,0,0.7916666666666666,0.3958333333333333,-375.0,-187.5,u$6$4,u$u$u$6$4,u$u$u$u$u$u$u$u$6$4,
Hernandez/Benjamin,2,0,1,0,0,5000,1.375,0.6875,250.0,125.0,u$5$2,u$u$u$5$2,u$u$u$u$u$u$u$u$5$2,
Rodriguez/Castro/Luis,3,0,0,0,0,0,1.0178571428571428,0.33928571428571425,-875.0,-291.6666666666667,6$7$5,u$u$6$7$5,u$u$u$u$u$u$u$6$7$5,
Correa/Julio,3,1,1,0,3333,6666,2.107142857142857,0.7023809523809524,482.14285714285717,160.71428571428572,7$2$1,u$u$7$2$1,u$u$u$u$u$u$u$7$2$1,
Luzzi/Michael,1,0,0,0,0,0,0.125,0.125,-500.0,-500.0,u$u$8,u$u$u$u$8,u$u$u$u$u$u$u$u$u$8,
Castillo/Angel,1,1,0,0,10000,10000,1.0,1.0,500.0,500.0,u$u$1,u$u$u$u$1,u$u$u$u$u$u$u$u$u$1,
Santiago/Reyes/Christian,1,0,0,1,0,10000,0.75,0.75,250.0,250.0,u$u$3,u$u$u$u$3,u$u$u$u$u$u$u$u$u$3,
Silvera/Ruben,1,0,0,0,0,0,0.375,0.375,-250.0,-250.0,u$u$6,u$u$u$u$6,u$u$u$u$u$u$u$u$u$6,
