date,raceNum,trackType,weather,trackCondition,dist,numHorses,lastRace1,pastRace1,pastTrack1,pastPos1,hName1,jName1,weight1,m1,e1,polePos1,odds1,fav1,newDist1,asr1,lsr1,lastRace2,pastRace2,pastTrack2,pastPos2,hName2,jName2,weight2,m2,e2,polePos2,odds2,fav2,newDist2,asr2,lsr2,finalrank
9/8/2018,9,Dirt,Clear,Fast,6875,6,12,8,FL,2,Mamma White Socks,Davis/Dylan,119,L,None,1,6.8,0,0,45,45,29,4,BEL,5,St Edmond's Girl,Carmouche/Kendrick,119,L,None,3,4,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,29,4,BEL,5,St Edmond's Girl,Carmouche/Kendrick,119,L,None,3,4,0,0,45,45,36,9,BEL,3,Magical Romance,Lezcano/Jose,124,L,f,6,18.7,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,17,9,SAR,4,Mama Mary,Saez/Luis,119,L,None,2,0.9,1,0,71,71,668,1,BEL,2,Dorothy's Dream,Franco/Manuel,124,L,None,4,4.8,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,12,8,FL,2,Mamma White Socks,Davis/Dylan,119,L,None,1,6.8,0,0,45,45,41,4,BEL,3,Carrera Cat,Maragh/Rajiv,119,L,b,5,6.8,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,36,9,BEL,3,Magical Romance,Lezcano/Jose,124,L,f,6,18.7,0,0,45,45,668,1,BEL,2,Dorothy's Dream,Franco/Manuel,124,L,None,4,4.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,29,4,BEL,5,St Edmond's Girl,Carmouche/Kendrick,119,L,None,3,4,0,0,45,45,668,1,BEL,2,Dorothy's Dream,Franco/Manuel,124,L,None,4,4.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,17,9,SAR,4,Mama Mary,Saez/Luis,119,L,None,2,0.9,1,0,71,71,29,4,BEL,5,St Edmond's Girl,Carmouche/Kendrick,119,L,None,3,4,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,668,1,BEL,2,Dorothy's Dream,Franco/Manuel,124,L,None,4,4.8,0,0,45,45,41,4,BEL,3,Carrera Cat,Maragh/Rajiv,119,L,b,5,6.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,29,4,BEL,5,St Edmond's Girl,Carmouche/Kendrick,119,L,None,3,4,0,0,45,45,41,4,BEL,3,Carrera Cat,Maragh/Rajiv,119,L,b,5,6.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,36,9,BEL,3,Magical Romance,Lezcano/Jose,124,L,f,6,18.7,0,0,45,45,41,4,BEL,3,Carrera Cat,Maragh/Rajiv,119,L,b,5,6.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,12,8,FL,2,Mamma White Socks,Davis/Dylan,119,L,None,1,6.8,0,0,45,45,36,9,BEL,3,Magical Romance,Lezcano/Jose,124,L,f,6,18.7,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,17,9,SAR,4,Mama Mary,Saez/Luis,119,L,None,2,0.9,1,0,71,71,36,9,BEL,3,Magical Romance,Lezcano/Jose,124,L,f,6,18.7,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,17,9,SAR,4,Mama Mary,Saez/Luis,119,L,None,2,0.9,1,0,71,71,41,4,BEL,3,Carrera Cat,Maragh/Rajiv,119,L,b,5,6.8,0,0,45,45,2
9/8/2018,9,Dirt,Clear,Fast,6875,6,12,8,FL,2,Mamma White Socks,Davis/Dylan,119,L,None,1,6.8,0,0,45,45,668,1,BEL,2,Dorothy's Dream,Franco/Manuel,124,L,None,4,4.8,0,0,45,45,1
9/8/2018,9,Dirt,Clear,Fast,6875,6,12,8,FL,2,Mamma White Socks,Davis/Dylan,119,L,None,1,6.8,0,0,45,45,17,9,SAR,4,Mama Mary,Saez/Luis,119,L,None,2,0.9,1,0,71,71,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,97,8,TAM,6,Ninetyeighttwo,Rosario/Joel,120,L,None,5,8.9,0,0,53,53,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,26,7,AP,7,Taruca,Luzzi/Michael,120,L,b,2,8.2,0,0,45,45,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,97,8,TAM,6,Ninetyeighttwo,Rosario/Joel,120,L,None,5,8.9,0,0,53,53,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,97,8,TAM,6,Ninetyeighttwo,Rosario/Joel,120,L,None,5,8.9,0,0,53,53,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,26,7,AP,7,Taruca,Luzzi/Michael,120,L,b,2,8.2,0,0,45,45,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,26,7,AP,7,Taruca,Luzzi/Michael,120,L,b,2,8.2,0,0,45,45,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,26,7,AP,7,Taruca,Luzzi/Michael,120,L,b,2,8.2,0,0,45,45,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,19,4,SAR,4,Cavallotto,Davis/Dylan,124,L,b,6,2.1,1,0,66,66,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,97,8,TAM,6,Ninetyeighttwo,Rosario/Joel,120,L,None,5,8.9,0,0,53,53,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,97,8,TAM,6,Ninetyeighttwo,Rosario/Joel,120,L,None,5,8.9,0,0,53,53,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,26,7,AP,7,Taruca,Luzzi/Michael,120,L,b,2,8.2,0,0,45,45,2
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,301,3,BEL,4,Planet Trailblazer (BRZ),Saez/Luis,122,L,b,4,2.25,0,1,79,70,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,40,6,MTH,3,Best Surprise,Maragh/Rajiv,124,L,bf,1,4.3,0,0,45,45,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,1
10/8/2018,1,Dirt,Clear,Fast,8750,7,41,3,BEL,3,Kenyan,Cancel/Eric,122,L,f,7,7.4,0,0,45,45,11,4,SAR,6,Quai Voltaire,Reyes/Luis,124,L,b,3,19,0,0,69,76,2
