date,raceNum,trackType,weather,trackCondition,dist,numHorses,lastRace1,pastRace1,pastTrack1,pastPos1,hName1,jName1,weight1,m1,e1,polePos1,odds1,fav1,newDist1,asr1,lsr1,lastRace2,pastRace2,pastTrack2,pastPos2,hName2,jName2,weight2,m2,e2,polePos2,odds2,fav2,newDist2,asr2,lsr2,finalrank,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,7,5,AQU,3,Swiping Dan,Serrano/Keivan,120,L,b,3,12.70,0,1,77,23,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,59,5,BEL,5,Hardcore Folklore,Ortiz/Jr./Irad,118,L,bf,7,1.05,1,0,30,30,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,7,5,AQU,3,Swiping Dan,Serrano/Keivan,120,L,b,3,12.70,0,1,77,23,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,27,3,AQU,2,Deep Sea,Cancel/Eric,120,L,None,2,3.25,0,1,75,63,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,13,6,LRL,10,Full Salute,Carmouche/Kendrick,120,L,None,4,12.60,0,0,67,67,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,59,5,BEL,5,Hardcore Folklore,Ortiz/Jr./Irad,118,L,bf,7,1.05,1,0,30,30,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,2,Deep Sea,Cancel/Eric,120,L,None,2,3.25,0,1,75,63,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,3,Thousand Percent,Davis/Dylan,122,L,bf,6,1.05,1,1,75,66,8,5,AQU,5,The Sicarii,Camacho/Jr./Samuel,120,L,b,1,10.20,0,0,59,54,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,13,6,LRL,10,Full Salute,Carmouche/Kendrick,120,L,None,4,12.60,0,0,67,67,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,7,5,AQU,3,Swiping Dan,Serrano/Keivan,120,L,b,3,12.70,0,1,77,23,8,5,AQU,5,The Sicarii,Camacho/Jr./Samuel,120,L,b,1,10.20,0,0,59,54,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,28,7,AQU,6,Dark N Cloudy,Carroll/Declan,119,L,f,5,3.25,0,1,71,49,8,5,AQU,5,The Sicarii,Camacho/Jr./Samuel,120,L,b,1,10.20,0,0,59,54,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,2,Deep Sea,Cancel/Eric,120,L,None,2,3.25,0,1,75,63,13,6,LRL,10,Full Salute,Carmouche/Kendrick,120,L,None,4,12.60,0,0,67,67,2,
30/11/2019,2,Dirt,Clear,Fast,7500,7,27,3,AQU,2,Deep Sea,Cancel/Eric,120,L,None,2,3.25,0,1,75,63,7,5,AQU,3,Swiping Dan,Serrano/Keivan,120,L,b,3,12.70,0,1,77,23,1,
30/11/2019,2,Dirt,Clear,Fast,7500,7,59,5,BEL,5,Hardcore Folklore,Ortiz/Jr./Irad,118,L,bf,7,1.05,1,0,30,30,7,5,AQU,3,Swiping Dan,Serrano/Keivan,120,L,b,3,12.70,0,1,77,23,2,
